Date,Year,WeeklyMean,WeeklyLower,WeeklyUpper,linear_Prognose,linear_CI_Lower,linear_CI_Upper,linear_Mean_Typical,logistic_Prognose,logistic_CI_Lower,logistic_CI_Upper,logistic_Mean_Typical,exponential_Prognose,exponential_CI_Lower,exponential_CI_Upper,exponential_Mean_Typical
2000-01-10,2000,0.7995613744301684,0.5718680065885987,1.027254742271738,1.6278642600118336,0.9727474792072064,1.7473603166042264,1.3600538979057164,0.9523929889976624,0.9727474792072064,1.7473603166042264,1.3600538979057164,1.5663196885273292,0.9727474792072064,1.7473603166042264,1.3600538979057164
2000-01-17,2000,0.9202538277017452,0.7562008551328663,1.0843068002706242,1.6947196550636783,1.2862976545810056,1.8444058672603318,1.5653517609206686,1.1599388408617295,1.2862976545810056,1.8444058672603318,1.5653517609206686,1.647677956408913,1.2862976545810056,1.8444058672603318,1.5653517609206686
2000-01-24,2000,0.9964464115978521,0.8661756398422843,1.1267171833534197,1.6587456883684188,1.4733647633717257,1.916545928884167,1.6949553461279465,1.350216160870448,1.4733647633717257,1.916545928884167,1.6949553461279465,1.5680657231021427,1.4733647633717257,1.916545928884167,1.6949553461279465
2000-01-31,2000,0.9920761355654276,0.8141923745403076,1.1699598965905476,1.7316553107630206,1.3849412290930632,1.9901017841005215,1.6875215065967923,1.5411986972837415,1.3849412290930632,1.9901017841005215,1.6875215065967923,1.5655239602053286,1.3849412290930632,1.9901017841005215,1.6875215065967923
2000-02-07,2000,0.9765445326981342,0.7709660280692548,1.1821230373270137,1.707843760880479,1.3114132137458026,2.0107912864932502,1.6611022501195265,1.4631800078519357,1.3114132137458026,2.0107912864932502,1.6611022501195265,1.6585998749137845,1.3114132137458026,2.0107912864932502,1.6611022501195265
2000-02-14,2000,0.9583202160274422,0.7630416259263482,1.1535988061285363,1.642234847119383,1.2979338057007184,1.9622715692246402,1.6301026874626792,1.4762731178372666,1.2979338057007184,1.9622715692246402,1.6301026874626792,1.767909164037828,1.2979338057007184,1.9622715692246402,1.6301026874626792
2000-02-21,2000,0.9317862862103911,0.742231609845298,1.1213409625754842,1.69976969567366,1.262535968346852,1.9074009773408986,1.5849684728438753,1.570109049863802,1.262535968346852,1.9074009773408986,1.5849684728438753,1.6566957435627527,1.262535968346852,1.9074009773408986,1.5849684728438753
2000-02-28,2000,0.9140477866158176,0.7448657465035162,1.083229826728119,1.6109789856422994,1.2670166348024812,1.8425739352645305,1.5547952850335058,1.5424152394165056,1.2670166348024812,1.8425739352645305,1.5547952850335058,1.661409160965959,1.2670166348024812,1.8425739352645305,1.5547952850335058
2000-03-06,2000,0.9111716284810846,0.749931347156818,1.0724119098053513,1.616380184454962,1.2756332215137474,1.8241726585789027,1.549902940046325,1.5526938525567093,1.2756332215137474,1.8241726585789027,1.549902940046325,1.6343322350748941,1.2756332215137474,1.8241726585789027,1.549902940046325
2000-03-13,2000,0.9130343580166819,0.7631875795331581,1.0628811365002058,1.6771307154749826,1.298182072785902,1.80796081318685,1.553071442986376,1.5870084486565894,1.298182072785902,1.80796081318685,1.553071442986376,1.6846804814877447,1.298182072785902,1.80796081318685,1.553071442986376
2000-03-20,2000,0.925696565796221,0.786418233066881,1.064974898525561,1.5494738122254377,1.3376974144467646,1.8115223023919793,1.574609858419372,1.5592860938582978,1.3376974144467646,1.8115223023919793,1.574609858419372,1.6765894829817651,1.3376974144467646,1.8115223023919793,1.574609858419372
2000-03-27,2000,0.9493197717406837,0.8674224934995406,1.031217049981827,1.5775795537658805,1.4754856614427185,1.7541002020190877,1.614792931730903,1.6883323530832577,1.4754856614427185,1.7541002020190877,1.614792931730903,1.711258176354115,1.4754856614427185,1.7541002020190877,1.614792931730903
2000-04-03,2000,0.9878706965504901,0.9727294083886829,1.0030119847122971,1.6030687325490316,1.6546127236691497,1.7061233859956175,1.6803680548323836,1.7169494237859275,1.6546127236691497,1.7061233859956175,1.6803680548323836,1.6711264078518804,1.6546127236691497,1.7061233859956175,1.6803680548323836
2000-04-10,2000,1.0278862780188593,0.9534339728710938,1.102338583166625,1.6772064066020893,1.6217911878537306,1.8750779299664293,1.7484345589100798,1.690437120553943,1.6217911878537306,1.8750779299664293,1.7484345589100798,1.726461016509927,1.6217911878537306,1.8750779299664293,1.7484345589100798
2000-04-17,2000,1.0462072028670941,0.9099134525421559,1.1825009531920323,1.7322804922187902,1.5477627827742073,2.011434121379647,1.7795984520769272,1.708031517577431,1.5477627827742073,2.011434121379647,1.7795984520769272,1.6958645545847997,1.5477627827742073,2.011434121379647,1.7795984520769272
2000-04-24,2000,1.047587520128899,0.8725687423214197,1.2226062979363785,1.8484140354205667,1.484239430688735,2.07965331278978,1.7819463717392574,1.7971390973654053,1.484239430688735,2.07965331278978,1.7819463717392574,1.7537353723332176,1.484239430688735,2.07965331278978,1.7819463717392574
2000-05-01,2000,1.021826618769377,0.8458051181617223,1.1978481193770316,1.7965899286981666,1.4387145059930897,2.0375396510603307,1.7381270785267102,1.7030278462135182,1.4387145059930897,2.0375396510603307,1.7381270785267102,1.7789781433511862,1.4387145059930897,2.0375396510603307,1.7381270785267102
2000-05-08,2000,1.0197508726786584,0.8483074274867906,1.1911943178705262,1.8078601765438735,1.4429709341550307,2.0262215346977652,1.7345962344263979,1.6721601886152528,1.4429709341550307,2.0262215346977652,1.7345962344263979,1.8751365362989278,1.4429709341550307,2.0262215346977652,1.7345962344263979
2000-05-15,2000,1.0263406867658655,0.8930100636702959,1.1596713098614353,1.8108814204009207,1.5190101183031735,1.9726008980743015,1.7458055081887374,1.6576152485912155,1.5190101183031735,1.9726008980743015,1.7458055081887374,1.8376426993636812,1.5190101183031735,1.9726008980743015,1.7458055081887374
2000-05-22,2000,1.0322291704647983,0.921759509272649,1.1426988316569477,1.7774181423923316,1.5679129252727761,1.9437307126484682,1.755821818960622,1.6652431195065975,1.5679129252727761,1.9437307126484682,1.755821818960622,1.742585098668511,1.5679129252727761,1.9437307126484682,1.755821818960622
2000-05-29,2000,1.0090795826521792,0.9113511823599585,1.1068079829444,1.7149610709650127,1.5502083611942894,1.8826803789884243,1.716444370091357,1.676459093905067,1.5502083611942894,1.8826803789884243,1.716444370091357,1.7170608126719078,1.5502083611942894,1.8826803789884243,1.716444370091357
2000-06-05,2000,0.994834208905019,0.9158149216221101,1.0738534961879278,1.6524947775837913,1.5578011816792092,1.8266247970156653,1.6922129893474374,1.7160174711583411,1.5578011816792092,1.8266247970156653,1.6922129893474374,1.764737915375966,1.5578011816792092,1.8266247970156653,1.6922129893474374
2000-06-12,2000,1.001470415127639,0.9202610950651596,1.0826797351901183,1.6806889290524256,1.5653641227058366,1.8416382295583913,1.703501176132114,1.7600189236945654,1.5653641227058366,1.8416382295583913,1.703501176132114,1.7380633862487882,1.5653641227058366,1.8416382295583913,1.703501176132114
2000-06-19,2000,1.0074407414662954,0.9709813910620521,1.0439000918705388,1.6630032652143985,1.6516393461965506,1.7756740562717865,1.7136567012341686,1.7568149470952683,1.6516393461965506,1.7756740562717865,1.7136567012341686,1.6843144980584213,1.6516393461965506,1.7756740562717865,1.7136567012341686
2000-06-26,2000,1.0063374910154324,0.9788899950513353,1.0337849869795293,1.6823228034178672,1.6650918815823215,1.7584682628521793,1.7117800722172505,1.7151935631944526,1.6650918815823215,1.7584682628521793,1.7117800722172505,1.7324858645682188,1.6650918815823215,1.7584682628521793,1.7117800722172505
